id,question,answer,tag
50,"Mengapa keamanan komputer penting?","Keamanan komputer penting untuk melindungi data, sistem, dan jaringan dari akses tidak sah, peretasan, pencurian data, serta kerusakan perangkat lunak atau perangkat keras. Tanpa keamanan, informasi pribadi maupun organisasi bisa disalahgunakan.","komputer"
51,"Apa itu virus komputer dan bagaimana mencegahnya?","Virus komputer adalah program berbahaya yang menempel pada file atau program lain dan menyebar untuk merusak atau mencuri data. Cara mencegahnya: Gunakan antivirus yang selalu diperbarui. Jangan membuka lampiran atau link mencurigakan. Hindari mengunduh dari sumber tidak resmi. Rutin backup data penting.","definisi"
52,"Apa itu bahasa pemrograman?","Bahasa pemrograman adalah bahasa buatan yang digunakan untuk menulis instruksi agar komputer dapat menjalankan tugas tertentu. Dengan bahasa pemrograman, manusia dapat memberi perintah kepada komputer secara terstruktur dan logis. Contohnya: Python, Java, C++, JavaScript, PHP.","definisi"
53,"Sebutkan level-level dalam bahasa pemrograman!","Bahasa pemrograman dibagi menjadi beberapa level berdasarkan kedekatannya dengan mesin atau manusia: Bahasa tingkat rendah (Low-Level): Dekat dengan bahasa mesin, sulit dipahami manusia. Contoh: Assembly. Bahasa tingkat menengah: Gabungan antara kemudahan manusia dan kontrol mesin. Contoh: C. Bahasa tingkat tinggi (High-Level): Mudah dipahami manusia, banyak digunakan saat ini. Contoh: Python, Java, PHP.","level"
54,"Apa itu algoritma dan mengapa penting?","Algoritma adalah langkah-langkah logis dan sistematis untuk menyelesaikan suatu masalah. Pentingnya algoritma: Membantu programmer merancang solusi yang efisien. Mengurangi kesalahan logika dalam program. Menjadi dasar dalam struktur data, pemrograman, dan kecerdasan buatan.","definisi"
55,"Sebutkan struktur data dasar dalam pemrograman!","Struktur data digunakan untuk menyimpan dan mengelola data secara efisien. Beberapa struktur dasar antara lain: Array: Menyimpan data sejenis dalam satu variabel. Linked List: Elemen saling terhubung melalui pointer. Stack: Prinsip LIFO (Last In First Out). Queue: Prinsip FIFO (First In First Out). Tree: Struktur hierarki seperti pohon. Graph: Koleksi node dan edge untuk relasi kompleks.","dasar"
56,"Apa itu SQL dan perintah dasarnya?","SQL (Structured Query Language) adalah bahasa yang digunakan untuk mengelola dan mengakses data dalam database relasional. Perintah dasar SQL: SELECT – Mengambil data. INSERT – Menambahkan data. UPDATE – Mengubah data. DELETE – Menghapus data. CREATE – Membuat tabel atau database baru.","sql"
57,"Bagaimana cara kerja protokol HTTP dan HTTPS?"," HTTP (Hypertext Transfer Protocol): Mengatur pertukaran data antara browser dan server web tanpa enkripsi. HTTPS (HTTP Secure): Versi aman dari HTTP yang menggunakan SSL/TLS untuk mengenkripsi data, menjaga privasi dan keamanan pengguna. Prosesnya: Browser mengirim permintaan ke server → Server merespons dengan halaman web → Data dikirim balik melalui HTTP/HTTPS.","http"
58,"Apa itu DNS dan bagaimana cara kerjanya?","DNS (Domain Name System) berfungsi menerjemahkan nama domain (seperti www.google.com ) menjadi alamat IP yang bisa dimengerti komputer. Cara kerjanya: Pengguna mengetik alamat situs. Browser meminta alamat IP ke server DNS. DNS mengembalikan alamat IP yang sesuai. Browser terhubung ke server tersebut dan menampilkan situs.","dns"
59,"Apa perbedaan frontend dan backend development?"," Frontend Development: Bagian yang dilihat dan digunakan pengguna (tampilan website). Menggunakan HTML, CSS, JavaScript. Backend Development: Bagian belakang yang mengelola logika, database, dan server. Menggunakan bahasa seperti Python, PHP, Java, Node.js.","perbandingan"
60,"Apa itu HTML, CSS, dan JavaScript?"," HTML (HyperText Markup Language): Struktur dasar halaman web. CSS (Cascading Style Sheets): Mengatur tampilan dan desain (warna, font, layout). JavaScript: Memberikan interaktivitas dan logika pada halaman web (seperti animasi, validasi form).","definisi"
61,"Bagaimana cara kerja responsive web design?","Responsive web design membuat tampilan website menyesuaikan ukuran layar perangkat (desktop, tablet, smartphone). Dicapai dengan: Menggunakan media queries di CSS. Layout fleksibel (grid, flexbox). Gambar dan elemen yang berskala otomatis.","responsive"
